# Universal Force Field (UFF) atom-type parameters.
# Reference: A. K. Rappe, C. J. Casewit, K. S. Colwell, W. A. Goddard III,
#   W. M. Skiff, J. Am. Chem. Soc. 114 (1992) 10024-10035.
# Numeric values as tabulated in the RDKit distribution (BSD-licensed);
# they are the published parameters from the reference above.
#
# Units: r1, x1, Radius in angstrom; theta0 in degrees; D1 in kcal/mol;
#        zeta, Z1 (effective charge), Vi/Uj (torsional barriers, kcal/mol),
#        Xi (GMP electronegativity), Hard (GMP hardness) dimensionless/eV.
#
# label      r1      theta0    x1      D1      zeta     Z1      Vi      Uj      Xi      Hard    Radius
Du           0.010   180.00    0.400   5000.   12.000   10.000  0.000   0.000   9.660   14.920  0.700
H_           0.354   180.00    2.886   0.044   12.000   0.712   0.000   0.000   4.528   6.9452  0.371
D            0.354   180.00    2.886   0.044   12.000   0.712   0.000   0.000   4.528   6.9452  0.371
H_b          0.460   83.50     2.886   0.044   12.000   0.712   0.000   0.000   4.528   6.9452  0.371
He4+4        0.849   90.00     2.362   0.056   15.240   0.098   0.000   0.000   9.660   14.920  1.300
Li           1.336   180.00    2.451   0.025   12.000   1.026   0.000   2.000   3.006   2.386   1.557
Be3+2        1.074   109.47    2.745   0.085   12.000   1.565   0.000   2.000   4.877   4.443   1.240
B_3          0.838   109.47    4.083   0.180   12.052   1.755   0.000   2.000   5.110   4.750   0.822
B_2          0.828   120.00    4.083   0.180   12.052   1.755   0.000   2.000   5.110   4.750   0.822
C_3          0.757   109.47    3.851   0.105   12.730   1.912   2.119   2.000   5.343   5.063   0.759
C_R          0.729   120.00    3.851   0.105   12.730   1.912   0.000   2.000   5.343   5.063   0.759
C_2          0.732   120.00    3.851   0.105   12.730   1.912   0.000   2.000   5.343   5.063   0.759
C_1          0.706   180.00    3.851   0.105   12.730   1.912   0.000   2.000   5.343   5.063   0.759
N_3          0.700   106.70    3.660   0.069   13.407   2.544   0.450   2.000   6.899   5.880   0.715
N_R          0.699   120.00    3.660   0.069   13.407   2.544   0.000   2.000   6.899   5.880   0.715
N_2          0.685   111.20    3.660   0.069   13.407   2.544   0.000   2.000   6.899   5.880   0.715
N_1          0.656   180.00    3.660   0.069   13.407   2.544   0.000   2.000   6.899   5.880   0.715
O_3          0.658   104.51    3.500   0.060   14.085   2.300   0.018   2.000   8.741   6.682   0.669
O_3_z        0.528   146.00    3.500   0.060   14.085   2.300   0.018   2.000   8.741   6.682   0.669
O_R          0.680   110.00    3.500   0.060   14.085   2.300   0.000   2.000   8.741   6.682   0.669
O_2          0.634   120.00    3.500   0.060   14.085   2.300   0.000   2.000   8.741   6.682   0.669
O_1          0.639   180.00    3.500   0.060   14.085   2.300   0.000   2.000   8.741   6.682   0.669
F_           0.668   180.00    3.364   0.050   14.762   1.735   0.000   2.000   10.874  7.474   0.706
Ne4+4        0.920   90.00     3.243   0.042   15.440   0.194   0.000   2.000   11.040  10.550  1.768
Na           1.539   180.00    2.983   0.030   12.000   1.081   0.000   1.250   2.843   2.296   2.085
Mg3+2        1.421   109.47    3.021   0.111   12.000   1.787   0.000   1.250   3.951   3.693   1.500
Al3          1.244   109.47    4.499   0.505   11.278   1.792   0.000   1.250   4.060   3.590   1.201
Si3          1.117   109.47    4.295   0.402   12.175   2.323   1.225   1.250   4.168   3.487   1.176
P_3+3        1.101   93.80     4.147   0.305   13.072   2.863   2.400   1.250   5.463   4.000   1.102
P_3+5        1.056   109.47    4.147   0.305   13.072   2.863   2.400   1.250   5.463   4.000   1.102
P_3+q        1.056   109.47    4.147   0.305   13.072   2.863   2.400   1.250   5.463   4.000   1.102
S_3+2        1.064   92.10     4.035   0.274   13.969   2.703   0.484   1.250   6.928   4.486   1.047
S_3+4        1.049   103.20    4.035   0.274   13.969   2.703   0.484   1.250   6.928   4.486   1.047
S_3+6        1.027   109.47    4.035   0.274   13.969   2.703   0.484   1.250   6.928   4.486   1.047
S_R          1.077   92.20     4.035   0.274   13.969   2.703   0.000   1.250   6.928   4.486   1.047
S_2          0.854   120.00    4.035   0.274   13.969   2.703   0.000   1.250   6.928   4.486   1.047
Cl           1.044   180.00    3.947   0.227   14.866   2.348   0.000   1.250   8.564   4.946   0.994
Ar4+4        1.032   90.00     3.868   0.185   15.763   0.300   0.000   1.250   9.465   6.355   2.108
K_           1.953   180.00    3.812   0.035   12.000   1.165   0.000   0.700   2.421   1.920   2.586
Ca6+2        1.761   90.00     3.399   0.238   12.000   2.141   0.000   0.700   3.231   2.880   2.000
Sc3+3        1.513   109.47    3.295   0.019   12.000   2.592   0.000   0.700   3.395   3.080   1.750
Ti3+4        1.412   109.47    3.175   0.017   12.000   2.659   0.000   0.700   3.470   3.380   1.607
Ti6+4        1.412   90.00     3.175   0.017   12.000   2.659   0.000   0.700   3.470   3.380   1.607
V_3+5        1.402   109.47    3.144   0.016   12.000   2.679   0.000   0.700   3.650   3.410   1.470
Cr6+3        1.345   90.00     3.023   0.015   12.000   2.463   0.000   0.700   3.415   3.865   1.402
Mn6+2        1.382   90.00     2.961   0.013   12.000   2.430   0.000   0.700   3.325   4.105   1.533
Fe3+2        1.270   109.47    2.912   0.013   12.000   2.430   0.000   0.700   3.760   4.140   1.393
Fe6+2        1.335   90.00     2.912   0.013   12.000   2.430   0.000   0.700   3.760   4.140   1.393
Co6+3        1.241   90.00     2.872   0.014   12.000   2.430   0.000   0.700   4.105   4.175   1.406
Ni4+2        1.164   90.00     2.834   0.015   12.000   2.430   0.000   0.700   4.465   4.205   1.398
Cu3+1        1.302   109.47    3.495   0.005   12.000   1.756   0.000   0.700   4.200   4.220   1.434
Zn3+2        1.193   109.47    2.763   0.124   12.000   1.308   0.000   0.700   5.106   4.285   1.400
Ga3+3        1.260   109.47    4.383   0.415   11.000   1.821   0.000   0.700   3.641   3.160   1.211
Ge3          1.197   109.47    4.280   0.379   12.000   2.789   0.701   0.700   4.051   3.438   1.189
As3+3        1.211   92.10     4.230   0.309   13.000   2.864   1.500   0.700   5.188   3.809   1.204
Se3+2        1.190   90.60     4.205   0.291   14.000   2.764   0.335   0.700   6.428   4.131   1.224
Br           1.192   180.00    4.189   0.251   15.000   2.519   0.000   0.700   7.790   4.425   1.141
Kr4+4        1.147   90.00     4.141   0.220   16.000   0.452   0.000   0.700   8.505   5.715   2.270
Rb           2.260   180.00    4.114   0.040   12.000   1.592   0.000   0.200   2.331   1.846   2.770
Sr6+2        2.052   90.00     3.641   0.235   12.000   2.449   0.000   0.200   3.024   2.440   2.415
Y_3+3        1.698   109.47    3.345   0.072   12.000   3.257   0.000   0.200   3.830   2.810   1.998
Zr3+4        1.564   109.47    3.124   0.069   12.000   3.667   0.000   0.200   3.400   3.550   1.758
Nb3+5        1.473   109.47    3.165   0.059   12.000   3.618   0.000   0.200   3.550   3.380   1.603
Mo6+6        1.467   90.00     3.052   0.056   12.000   3.400   0.000   0.200   3.465   3.755   1.530
Mo3+6        1.484   109.47    3.052   0.056   12.000   3.400   0.000   0.200   3.465   3.755   1.530
Tc6+5        1.322   90.00     2.998   0.048   12.000   3.400   0.000   0.200   3.290   3.990   1.500
Ru6+2        1.478   90.00     2.963   0.056   12.000   3.400   0.000   0.200   3.575   4.015   1.500
Rh6+3        1.332   90.00     2.929   0.053   12.000   3.500   0.000   0.200   3.975   4.005   1.509
Pd4+2        1.338   90.00     2.899   0.048   12.000   3.210   0.000   0.200   4.320   4.000   1.544
Ag1+1        1.386   180.00    3.148   0.036   12.000   1.956   0.000   0.200   4.436   3.134   1.622
Cd3+2        1.403   109.47    2.848   0.228   12.000   1.650   0.000   0.200   5.034   3.957   1.600
In3+3        1.459   109.47    4.463   0.599   11.000   2.070   0.000   0.200   3.506   2.896   1.404
Sn3          1.398   109.47    4.392   0.567   12.000   2.961   0.199   0.200   3.987   3.124   1.354
Sb3+3        1.407   91.60     4.420   0.449   13.000   2.704   1.100   0.200   4.899   3.342   1.404
Te3+2        1.386   90.25     4.470   0.398   14.000   2.882   0.300   0.200   5.816   3.526   1.380
I_           1.382   180.00    4.500   0.339   15.000   2.650   0.000   0.200   6.822   3.762   1.333
Xe4+4        1.267   90.00     4.404   0.332   12.000   0.556   0.000   0.200   7.595   4.975   2.459
Cs           2.570   180.00    4.517   0.045   12.000   1.573   0.000   0.100   2.183   1.711   2.984
Ba6+2        2.277   90.00     3.703   0.364   12.000   2.727   0.000   0.100   2.814   2.396   2.442
La3+3        1.943   109.47    3.522   0.017   12.000   3.300   0.000   0.100   2.8355  2.7415  2.071
Ce6+3        1.841   90.00     3.556   0.013   12.000   3.300   0.000   0.100   2.774   2.692   1.925
Pr6+3        1.823   90.00     3.606   0.010   12.000   3.300   0.000   0.100   2.858   2.564   2.007
Nd6+3        1.816   90.00     3.575   0.010   12.000   3.300   0.000   0.100   2.8685  2.6205  2.007
Pm6+3        1.801   90.00     3.547   0.009   12.000   3.300   0.000   0.100   2.881   2.673   2.000
Sm6+3        1.780   90.00     3.520   0.008   12.000   3.300   0.000   0.100   2.9115  2.7195  1.978
Eu6+3        1.771   90.00     3.493   0.008   12.000   3.300   0.000   0.100   2.8785  2.7875  2.227
Gd6+3        1.735   90.00     3.368   0.009   12.000   3.300   0.000   0.100   3.1665  2.9745  1.968
Tb6+3        1.732   90.00     3.451   0.007   12.000   3.300   0.000   0.100   3.018   2.834   1.954
Dy6+3        1.710   90.00     3.428   0.007   12.000   3.300   0.000   0.100   3.0555  2.8715  1.934
Ho6+3        1.696   90.00     3.409   0.007   12.000   3.416   0.000   0.100   3.127   2.891   1.925
Er6+3        1.673   90.00     3.391   0.007   12.000   3.300   0.000   0.100   3.1865  2.9145  1.915
Tm6+3        1.660   90.00     3.374   0.006   12.000   3.300   0.000   0.100   3.2514  2.9329  2.000
Yb6+3        1.637   90.00     3.355   0.228   12.000   2.618   0.000   0.100   3.2889  2.9650  2.158
Lu6+3        1.671   90.00     3.640   0.041   12.000   3.271   0.000   0.100   2.9629  2.4629  1.896
Hf3+4        1.611   109.47    3.141   0.072   12.000   3.921   0.000   0.100   3.700   3.400   1.759
Ta3+5        1.511   109.47    3.170   0.081   12.000   4.075   0.000   0.100   5.100   2.850   1.605
W_6+6        1.392   90.00     3.069   0.067   12.000   3.700   0.000   0.100   4.630   3.310   1.538
W_3+4        1.526   109.47    3.069   0.067   12.000   3.700   0.000   0.100   4.630   3.310   1.538
W_3+6        1.380   109.47    3.069   0.067   12.000   3.700   0.000   0.100   4.630   3.310   1.538
Re6+5        1.372   90.00     2.954   0.066   12.000   3.700   0.000   0.100   3.960   3.920   1.600
Re3+7        1.314   109.47    2.954   0.066   12.000   3.700   0.000   0.100   3.960   3.920   1.600
Os6+6        1.372   90.00     3.120   0.037   12.000   3.700   0.000   0.100   5.140   3.630   1.700
Ir6+3        1.371   90.00     2.840   0.073   12.000   3.731   0.000   0.100   5.000   4.000   1.866
Pt4+2        1.364   90.00     2.754   0.080   12.000   3.382   0.000   0.100   4.790   4.430   1.557
Au4+3        1.262   90.00     3.293   0.039   12.000   2.625   0.000   0.100   4.894   2.586   1.618
Hg1+2        1.340   180.00    2.705   0.385   12.000   1.750   0.000   0.100   6.270   4.160   1.600
Tl3+3        1.518   120.00    4.347   0.680   11.000   2.068   0.000   0.100   3.200   2.900   1.530
Pb3          1.459   109.47    4.297   0.663   12.000   2.846   0.100   0.100   3.900   3.530   1.444
Bi3+3        1.512   90.00     4.370   0.518   13.000   2.470   1.000   0.100   4.690   3.740   1.514
Po3+2        1.500   90.00     4.709   0.325   14.000   2.330   0.300   0.100   4.210   4.210   1.480
At           1.545   180.00    4.750   0.284   15.000   2.240   0.000   0.100   4.750   4.750   1.470
Rn4+4        1.420   90.00     4.765   0.248   16.000   0.583   0.000   0.100   5.370   5.370   2.200
Fr           2.880   180.00    4.900   0.050   12.000   1.847   0.000   0.000   2.000   2.000   2.300
Ra6+2        2.512   90.00     3.677   0.404   12.000   2.920   0.000   0.000   2.843   2.434   2.200
Ac6+3        1.983   90.00     3.478   0.033   12.000   3.900   0.000   0.000   2.835   2.835   2.108
Th6+4        1.721   90.00     3.396   0.026   12.000   4.202   0.000   0.000   3.175   2.905   2.018
Pa6+4        1.711   90.00     3.424   0.022   12.000   3.900   0.000   0.000   2.985   2.905   1.800
U_6+4        1.684   90.00     3.395   0.022   12.000   3.900   0.000   0.000   3.341   2.853   1.713
Np6+4        1.666   90.00     3.424   0.019   12.000   3.900   0.000   0.000   3.549   2.717   1.800
Pu6+4        1.657   90.00     3.424   0.016   12.000   3.900   0.000   0.000   3.243   2.819   1.840
Am6+4        1.660   90.00     3.381   0.014   12.000   3.900   0.000   0.000   2.9895  3.0035  1.942
Cm6+3        1.801   90.00     3.326   0.013   12.000   3.900   0.000   0.000   2.8315  3.1895  1.900
Bk6+3        1.761   90.00     3.339   0.013   12.000   3.900   0.000   0.000   3.1935  3.0355  1.900
Cf6+3        1.750   90.00     3.313   0.013   12.000   3.900   0.000   0.000   3.197   3.101   1.900
Es6+3        1.724   90.00     3.299   0.012   12.000   3.900   0.000   0.000   3.333   3.089   1.900
Fm6+3        1.712   90.00     3.286   0.012   12.000   3.900   0.000   0.000   3.400   3.100   1.900
Md6+3        1.689   90.00     3.274   0.011   12.000   3.900   0.000   0.000   3.470   3.110   1.900
No6+3        1.679   90.00     3.248   0.011   12.000   3.900   0.000   0.000   3.475   3.175   1.900
Lw6+3        1.698   90.00     3.236   0.011   12.000   3.900   0.000   0.000   3.500   3.200   1.900
